RBD,NOM_RBD,NOM_COM_RBD,RURAL_RBD,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT
26337,ESCUELA ESPECIAL ADAES,LA CISTERNA,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44
26338,ESC. DE PARV. CASPER,PUENTE ALTO,0,0,0,0,0,0,0,1,42,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57
26340,ESC. PARV. ADRIANNA BERZINS,MAIPÚ,0,5,220,0,0,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,8,352
26341,ESC. BAS. NUEVA ESPERANZA DE EL BOSQUE,EL BOSQUE,0,18,551,0,0,0,0,1,44,1,20,1,30,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,689
26342,ESC. DE PARV. LOS DUENDECITOS DE LA GRANJA,LA GRANJA,0,4,130,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,152
26344,ESCUELA DE PARVULOS Y ESPECIAL CRISOL DE EL,EL BOSQUE,0,5,206,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,294
26345,ESC. BAS. EJERCITO DE SALVACION DE SANTIAGO,SANTIAGO,0,18,694,0,0,0,0,1,44,1,36,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,862
26347,ESC. ESP. SANTA GEMA GALGANI,SAN BERNARDO,0,2,88,0,0,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176
26348,ESCUELA DE PARVULOS N 2251 ANDALUE DE SAN J,SAN JOAQUÍN,0,1,20,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64
26349,ESC ESP. CENTROS DE RETOS MULTIPLES LUZ Y ESP,BUIN,0,8,279,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,323
26350,ESCUELA ESP. SAN MARTIN DE PORRES,CERRO NAVIA,0,3,132,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176
26351,ESCUELA ESPECIAL N°2253 ANTULAF,LA CISTERNA,0,4,128,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,172
26352,ESC. PROFESOR FELIX ALVAREZ,QUINTA NORMAL,0,14,417,0,0,2,76,1,44,0,0,0,0,2,79,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,20,660
